MISS! ; PA: 8100 ; Accessed Data: 0
MISS! ; PA: 62485 ; Accessed Data: 0
MISS! ; PA: 34202 ; Accessed Data: 0
MISS! ; PA: 37442 ; Accessed Data: 0
MISS! ; PA: 30301 ; Accessed Data: 0
MISS! ; PA: 3111 ; Accessed Data: 0
MISS! ; PA: 37496 ; Accessed Data: 0
MISS! ; PA: 17845 ; Accessed Data: 0
MISS! ; PA: 13749 ; Accessed Data: 0
MISS! ; PA: 55187 ; Accessed Data: 0
HIT! ; PA: 30669 ; Accessed Data: 11011000001010100110101101010001
MISS! ; PA: 17220 ; Accessed Data: 0
MISS! ; PA: 21328 ; Accessed Data: 0
MISS! ; PA: 55408 ; Accessed Data: 0
MISS! ; PA: 1637 ; Accessed Data: 0
MISS! ; PA: 38205 ; Accessed Data: 0
MISS! ; PA: 11569 ; Accessed Data: 0
MISS! ; PA: 46738 ; Accessed Data: 0
MISS! ; PA: 158 ; Accessed Data: 0
MISS! ; PA: 25977 ; Accessed Data: 0
MISS! ; PA: 42689 ; Accessed Data: 0
HIT! ; PA: 58680 ; Accessed Data: 11000010011110111000100001000101
MISS! ; PA: 64600 ; Accessed Data: 0
MISS! ; PA: 61767 ; Accessed Data: 0
MISS! ; PA: 4301 ; Accessed Data: 0
MISS! ; PA: 58310 ; Accessed Data: 0
MISS! ; PA: 40566 ; Accessed Data: 0
MISS! ; PA: 24833 ; Accessed Data: 0
MISS! ; PA: 15963 ; Accessed Data: 0
MISS! ; PA: 40578 ; Accessed Data: 0
MISS! ; PA: 39465 ; Accessed Data: 0
MISS! ; PA: 55727 ; Accessed Data: 0
MISS! ; PA: 21035 ; Accessed Data: 0
MISS! ; PA: 23868 ; Accessed Data: 0
MISS! ; PA: 36095 ; Accessed Data: 0
MISS! ; PA: 49064 ; Accessed Data: 0
MISS! ; PA: 46367 ; Accessed Data: 0
MISS! ; PA: 49550 ; Accessed Data: 0
MISS! ; PA: 58698 ; Accessed Data: 0
MISS! ; PA: 8390 ; Accessed Data: 0
MISS! ; PA: 37439 ; Accessed Data: 0
MISS! ; PA: 48259 ; Accessed Data: 0
HIT! ; PA: 30594 ; Accessed Data: 01001000100101100110011100000001
MISS! ; PA: 56471 ; Accessed Data: 0
MISS! ; PA: 17148 ; Accessed Data: 0
MISS! ; PA: 35799 ; Accessed Data: 0
MISS! ; PA: 11481 ; Accessed Data: 0
MISS! ; PA: 37689 ; Accessed Data: 0
MISS! ; PA: 16270 ; Accessed Data: 0
MISS! ; PA: 39844 ; Accessed Data: 0
MISS! ; PA: 36086 ; Accessed Data: 0
MISS! ; PA: 47174 ; Accessed Data: 0
MISS! ; PA: 8284 ; Accessed Data: 0
MISS! ; PA: 5147 ; Accessed Data: 0
MISS! ; PA: 11086 ; Accessed Data: 0
MISS! ; PA: 59728 ; Accessed Data: 0
MISS! ; PA: 14183 ; Accessed Data: 0
MISS! ; PA: 57537 ; Accessed Data: 0
MISS! ; PA: 61045 ; Accessed Data: 0
MISS! ; PA: 63328 ; Accessed Data: 0
MISS! ; PA: 26854 ; Accessed Data: 0
MISS! ; PA: 4964 ; Accessed Data: 0
MISS! ; PA: 22656 ; Accessed Data: 0
MISS! ; PA: 34363 ; Accessed Data: 0
MISS! ; PA: 31550 ; Accessed Data: 0
MISS! ; PA: 35614 ; Accessed Data: 0
HIT! ; PA: 54668 ; Accessed Data: 00110001110111111011000011010110
MISS! ; PA: 18447 ; Accessed Data: 0
MISS! ; PA: 11391 ; Accessed Data: 0
MISS! ; PA: 42191 ; Accessed Data: 0
MISS! ; PA: 16574 ; Accessed Data: 0
MISS! ; PA: 52560 ; Accessed Data: 0
MISS! ; PA: 59553 ; Accessed Data: 0
MISS! ; PA: 50315 ; Accessed Data: 0
MISS! ; PA: 20262 ; Accessed Data: 0
MISS! ; PA: 21822 ; Accessed Data: 0
MISS! ; PA: 54867 ; Accessed Data: 0
MISS! ; PA: 1104 ; Accessed Data: 0
MISS! ; PA: 49900 ; Accessed Data: 0
MISS! ; PA: 64906 ; Accessed Data: 0
MISS! ; PA: 47767 ; Accessed Data: 0
