MISS! ; PA: 722 ; Accessed Data: 0
MISS! ; PA: 29604 ; Accessed Data: 0
HIT! ; PA: 51043 ; Accessed Data: 01101001000011101000100011001000
MISS! ; PA: 32730 ; Accessed Data: 0
MISS! ; PA: 9758 ; Accessed Data: 0
MISS! ; PA: 38245 ; Accessed Data: 0
MISS! ; PA: 12115 ; Accessed Data: 0
MISS! ; PA: 11992 ; Accessed Data: 0
MISS! ; PA: 39970 ; Accessed Data: 0
MISS! ; PA: 36700 ; Accessed Data: 0
MISS! ; PA: 49972 ; Accessed Data: 0
MISS! ; PA: 51557 ; Accessed Data: 0
MISS! ; PA: 37129 ; Accessed Data: 0
MISS! ; PA: 38687 ; Accessed Data: 0
MISS! ; PA: 47130 ; Accessed Data: 0
MISS! ; PA: 46491 ; Accessed Data: 0
MISS! ; PA: 8564 ; Accessed Data: 0
MISS! ; PA: 56234 ; Accessed Data: 0
MISS! ; PA: 64906 ; Accessed Data: 0
HIT! ; PA: 1951 ; Accessed Data: 00101011000100101100011011111010
MISS! ; PA: 52072 ; Accessed Data: 0
MISS! ; PA: 15160 ; Accessed Data: 0
MISS! ; PA: 61467 ; Accessed Data: 0
MISS! ; PA: 25397 ; Accessed Data: 0
HIT! ; PA: 24708 ; Accessed Data: 00000110111000111010011101000100
MISS! ; PA: 36419 ; Accessed Data: 0
MISS! ; PA: 24165 ; Accessed Data: 0
MISS! ; PA: 48103 ; Accessed Data: 0
MISS! ; PA: 30277 ; Accessed Data: 0
MISS! ; PA: 28670 ; Accessed Data: 0
MISS! ; PA: 26009 ; Accessed Data: 0
MISS! ; PA: 25565 ; Accessed Data: 0
MISS! ; PA: 1325 ; Accessed Data: 0
MISS! ; PA: 31710 ; Accessed Data: 0
MISS! ; PA: 8300 ; Accessed Data: 0
MISS! ; PA: 34676 ; Accessed Data: 0
MISS! ; PA: 40738 ; Accessed Data: 0
MISS! ; PA: 48507 ; Accessed Data: 0
MISS! ; PA: 4825 ; Accessed Data: 0
MISS! ; PA: 27112 ; Accessed Data: 0
MISS! ; PA: 27762 ; Accessed Data: 0
MISS! ; PA: 35320 ; Accessed Data: 0
MISS! ; PA: 30940 ; Accessed Data: 0
MISS! ; PA: 24520 ; Accessed Data: 0
MISS! ; PA: 46826 ; Accessed Data: 0
MISS! ; PA: 53815 ; Accessed Data: 0
MISS! ; PA: 23464 ; Accessed Data: 0
MISS! ; PA: 12040 ; Accessed Data: 0
MISS! ; PA: 37777 ; Accessed Data: 0
MISS! ; PA: 35731 ; Accessed Data: 0
MISS! ; PA: 24377 ; Accessed Data: 0
MISS! ; PA: 354 ; Accessed Data: 0
MISS! ; PA: 53310 ; Accessed Data: 0
HIT! ; PA: 60295 ; Accessed Data: 11010101111010001101111111111110
MISS! ; PA: 7008 ; Accessed Data: 0
MISS! ; PA: 35121 ; Accessed Data: 0
MISS! ; PA: 2657 ; Accessed Data: 0
MISS! ; PA: 60503 ; Accessed Data: 0
MISS! ; PA: 56579 ; Accessed Data: 0
MISS! ; PA: 40120 ; Accessed Data: 0
MISS! ; PA: 10617 ; Accessed Data: 0
MISS! ; PA: 48775 ; Accessed Data: 0
MISS! ; PA: 3150 ; Accessed Data: 0
MISS! ; PA: 16741 ; Accessed Data: 0
MISS! ; PA: 25339 ; Accessed Data: 0
MISS! ; PA: 8708 ; Accessed Data: 0
MISS! ; PA: 44499 ; Accessed Data: 0
MISS! ; PA: 42361 ; Accessed Data: 0
MISS! ; PA: 30936 ; Accessed Data: 0
MISS! ; PA: 31501 ; Accessed Data: 0
MISS! ; PA: 9970 ; Accessed Data: 0
HIT! ; PA: 43439 ; Accessed Data: 01010110000010110000111110101001
MISS! ; PA: 7362 ; Accessed Data: 0
MISS! ; PA: 49006 ; Accessed Data: 0
MISS! ; PA: 10253 ; Accessed Data: 0
MISS! ; PA: 36316 ; Accessed Data: 0
MISS! ; PA: 36987 ; Accessed Data: 0
MISS! ; PA: 34566 ; Accessed Data: 0
MISS! ; PA: 60895 ; Accessed Data: 0
HIT! ; PA: 18826 ; Accessed Data: 00011110010101110101001110100101
MISS! ; PA: 38929 ; Accessed Data: 0
MISS! ; PA: 7554 ; Accessed Data: 0
MISS! ; PA: 48212 ; Accessed Data: 0
MISS! ; PA: 44670 ; Accessed Data: 0
MISS! ; PA: 52458 ; Accessed Data: 0
MISS! ; PA: 48663 ; Accessed Data: 0
MISS! ; PA: 57812 ; Accessed Data: 0
MISS! ; PA: 64739 ; Accessed Data: 0
MISS! ; PA: 10668 ; Accessed Data: 0
MISS! ; PA: 16622 ; Accessed Data: 0
MISS! ; PA: 6117 ; Accessed Data: 0
MISS! ; PA: 8067 ; Accessed Data: 0
MISS! ; PA: 58884 ; Accessed Data: 0
MISS! ; PA: 48232 ; Accessed Data: 0
MISS! ; PA: 26409 ; Accessed Data: 0
MISS! ; PA: 27153 ; Accessed Data: 0
MISS! ; PA: 18788 ; Accessed Data: 0
MISS! ; PA: 56787 ; Accessed Data: 0
MISS! ; PA: 7372 ; Accessed Data: 0
MISS! ; PA: 7499 ; Accessed Data: 0
MISS! ; PA: 58963 ; Accessed Data: 0
MISS! ; PA: 52719 ; Accessed Data: 0
MISS! ; PA: 50358 ; Accessed Data: 0
MISS! ; PA: 31428 ; Accessed Data: 0
MISS! ; PA: 13240 ; Accessed Data: 0
MISS! ; PA: 45504 ; Accessed Data: 0
MISS! ; PA: 38893 ; Accessed Data: 0
MISS! ; PA: 4555 ; Accessed Data: 0
MISS! ; PA: 56071 ; Accessed Data: 0
MISS! ; PA: 21439 ; Accessed Data: 0
MISS! ; PA: 24977 ; Accessed Data: 0
MISS! ; PA: 50877 ; Accessed Data: 0
MISS! ; PA: 13636 ; Accessed Data: 0
MISS! ; PA: 55818 ; Accessed Data: 0
MISS! ; PA: 16679 ; Accessed Data: 0
MISS! ; PA: 41893 ; Accessed Data: 0
MISS! ; PA: 16845 ; Accessed Data: 0
MISS! ; PA: 17134 ; Accessed Data: 0
MISS! ; PA: 43922 ; Accessed Data: 0
MISS! ; PA: 28103 ; Accessed Data: 0
MISS! ; PA: 28460 ; Accessed Data: 0
MISS! ; PA: 42282 ; Accessed Data: 0
