MISS! ; PA: 45177 ; Accessed Data: 0
MISS! ; PA: 17588 ; Accessed Data: 0
MISS! ; PA: 50038 ; Accessed Data: 0
MISS! ; PA: 36660 ; Accessed Data: 0
MISS! ; PA: 58172 ; Accessed Data: 0
MISS! ; PA: 50586 ; Accessed Data: 0
HIT! ; PA: 39921 ; Accessed Data: 10110111001111001110010111101110
MISS! ; PA: 49165 ; Accessed Data: 0
MISS! ; PA: 9487 ; Accessed Data: 0
MISS! ; PA: 13182 ; Accessed Data: 0
MISS! ; PA: 61320 ; Accessed Data: 0
MISS! ; PA: 55893 ; Accessed Data: 0
MISS! ; PA: 401 ; Accessed Data: 0
MISS! ; PA: 48369 ; Accessed Data: 0
HIT! ; PA: 8177 ; Accessed Data: 11111010011010010000111001111100
MISS! ; PA: 61973 ; Accessed Data: 0
HIT! ; PA: 31874 ; Accessed Data: 00111101001001111000111110011110
MISS! ; PA: 39254 ; Accessed Data: 0
HIT! ; PA: 61856 ; Accessed Data: 10111111111000000101011001101011
MISS! ; PA: 1043 ; Accessed Data: 0
MISS! ; PA: 16051 ; Accessed Data: 0
MISS! ; PA: 23307 ; Accessed Data: 0
MISS! ; PA: 4421 ; Accessed Data: 0
MISS! ; PA: 56534 ; Accessed Data: 0
MISS! ; PA: 31937 ; Accessed Data: 0
MISS! ; PA: 3966 ; Accessed Data: 0
MISS! ; PA: 26614 ; Accessed Data: 0
MISS! ; PA: 29531 ; Accessed Data: 0
MISS! ; PA: 22155 ; Accessed Data: 0
MISS! ; PA: 61368 ; Accessed Data: 0
MISS! ; PA: 9761 ; Accessed Data: 0
MISS! ; PA: 3441 ; Accessed Data: 0
MISS! ; PA: 32013 ; Accessed Data: 0
MISS! ; PA: 18631 ; Accessed Data: 0
MISS! ; PA: 28946 ; Accessed Data: 0
HIT! ; PA: 64041 ; Accessed Data: 00010110000000010111010111010101
MISS! ; PA: 13600 ; Accessed Data: 0
MISS! ; PA: 64880 ; Accessed Data: 0
MISS! ; PA: 49059 ; Accessed Data: 0
MISS! ; PA: 54957 ; Accessed Data: 0
MISS! ; PA: 53646 ; Accessed Data: 0
MISS! ; PA: 15965 ; Accessed Data: 0
MISS! ; PA: 3126 ; Accessed Data: 0
HIT! ; PA: 38417 ; Accessed Data: 00011110110000111011010011101000
MISS! ; PA: 34766 ; Accessed Data: 0
MISS! ; PA: 46960 ; Accessed Data: 0
MISS! ; PA: 53480 ; Accessed Data: 0
MISS! ; PA: 37225 ; Accessed Data: 0
MISS! ; PA: 63209 ; Accessed Data: 0
MISS! ; PA: 9892 ; Accessed Data: 0
MISS! ; PA: 24051 ; Accessed Data: 0
MISS! ; PA: 18004 ; Accessed Data: 0
MISS! ; PA: 6795 ; Accessed Data: 0
MISS! ; PA: 31855 ; Accessed Data: 0
MISS! ; PA: 5153 ; Accessed Data: 0
MISS! ; PA: 36087 ; Accessed Data: 0
MISS! ; PA: 27548 ; Accessed Data: 0
MISS! ; PA: 43625 ; Accessed Data: 0
MISS! ; PA: 59422 ; Accessed Data: 0
MISS! ; PA: 42712 ; Accessed Data: 0
MISS! ; PA: 12760 ; Accessed Data: 0
MISS! ; PA: 64728 ; Accessed Data: 0
MISS! ; PA: 13553 ; Accessed Data: 0
HIT! ; PA: 10188 ; Accessed Data: 00010101000000000000101111000010
MISS! ; PA: 55552 ; Accessed Data: 0
MISS! ; PA: 26852 ; Accessed Data: 0
MISS! ; PA: 64956 ; Accessed Data: 0
MISS! ; PA: 1490 ; Accessed Data: 0
MISS! ; PA: 11826 ; Accessed Data: 0
MISS! ; PA: 31841 ; Accessed Data: 0
MISS! ; PA: 27210 ; Accessed Data: 0
MISS! ; PA: 45739 ; Accessed Data: 0
MISS! ; PA: 61585 ; Accessed Data: 0
MISS! ; PA: 25636 ; Accessed Data: 0
MISS! ; PA: 39102 ; Accessed Data: 0
MISS! ; PA: 15194 ; Accessed Data: 0
HIT! ; PA: 60467 ; Accessed Data: 00000111100111000110010011101111
MISS! ; PA: 38207 ; Accessed Data: 0
MISS! ; PA: 57643 ; Accessed Data: 0
MISS! ; PA: 52150 ; Accessed Data: 0
MISS! ; PA: 1520 ; Accessed Data: 0
MISS! ; PA: 10545 ; Accessed Data: 0
MISS! ; PA: 17880 ; Accessed Data: 0
MISS! ; PA: 13395 ; Accessed Data: 0
MISS! ; PA: 28583 ; Accessed Data: 0
MISS! ; PA: 19911 ; Accessed Data: 0
MISS! ; PA: 17512 ; Accessed Data: 0
MISS! ; PA: 38657 ; Accessed Data: 0
MISS! ; PA: 19494 ; Accessed Data: 0
MISS! ; PA: 7179 ; Accessed Data: 0
MISS! ; PA: 45161 ; Accessed Data: 0
MISS! ; PA: 29347 ; Accessed Data: 0
MISS! ; PA: 60074 ; Accessed Data: 0
MISS! ; PA: 45568 ; Accessed Data: 0
MISS! ; PA: 26781 ; Accessed Data: 0
