MISS! ; PA: 25476 ; Accessed Data: 0
MISS! ; PA: 9759 ; Accessed Data: 0
MISS! ; PA: 44139 ; Accessed Data: 0
MISS! ; PA: 37613 ; Accessed Data: 0
MISS! ; PA: 2799 ; Accessed Data: 0
MISS! ; PA: 61562 ; Accessed Data: 0
MISS! ; PA: 11531 ; Accessed Data: 0
MISS! ; PA: 37750 ; Accessed Data: 0
MISS! ; PA: 25221 ; Accessed Data: 0
MISS! ; PA: 35858 ; Accessed Data: 0
MISS! ; PA: 42133 ; Accessed Data: 0
MISS! ; PA: 10730 ; Accessed Data: 0
MISS! ; PA: 42694 ; Accessed Data: 0
MISS! ; PA: 5859 ; Accessed Data: 0
MISS! ; PA: 38743 ; Accessed Data: 0
MISS! ; PA: 12647 ; Accessed Data: 0
MISS! ; PA: 34631 ; Accessed Data: 0
MISS! ; PA: 16940 ; Accessed Data: 0
MISS! ; PA: 56136 ; Accessed Data: 0
MISS! ; PA: 44098 ; Accessed Data: 0
MISS! ; PA: 3806 ; Accessed Data: 0
MISS! ; PA: 32125 ; Accessed Data: 0
MISS! ; PA: 27672 ; Accessed Data: 0
MISS! ; PA: 9297 ; Accessed Data: 0
MISS! ; PA: 16031 ; Accessed Data: 0
MISS! ; PA: 21388 ; Accessed Data: 0
MISS! ; PA: 5316 ; Accessed Data: 0
MISS! ; PA: 14371 ; Accessed Data: 0
HIT! ; PA: 30138 ; Accessed Data: 01100000110101000101000101011011
MISS! ; PA: 8271 ; Accessed Data: 0
MISS! ; PA: 30088 ; Accessed Data: 0
MISS! ; PA: 64055 ; Accessed Data: 0
MISS! ; PA: 50806 ; Accessed Data: 0
MISS! ; PA: 10702 ; Accessed Data: 0
MISS! ; PA: 62150 ; Accessed Data: 0
MISS! ; PA: 3848 ; Accessed Data: 0
MISS! ; PA: 13089 ; Accessed Data: 0
MISS! ; PA: 36603 ; Accessed Data: 0
MISS! ; PA: 7230 ; Accessed Data: 0
MISS! ; PA: 1294 ; Accessed Data: 0
MISS! ; PA: 40817 ; Accessed Data: 0
MISS! ; PA: 16732 ; Accessed Data: 0
MISS! ; PA: 49201 ; Accessed Data: 0
MISS! ; PA: 18448 ; Accessed Data: 0
MISS! ; PA: 49426 ; Accessed Data: 0
HIT! ; PA: 51983 ; Accessed Data: 11111011111001001001101011010011
MISS! ; PA: 18835 ; Accessed Data: 0
MISS! ; PA: 17991 ; Accessed Data: 0
MISS! ; PA: 44203 ; Accessed Data: 0
MISS! ; PA: 19943 ; Accessed Data: 0
MISS! ; PA: 57301 ; Accessed Data: 0
MISS! ; PA: 14557 ; Accessed Data: 0
MISS! ; PA: 6001 ; Accessed Data: 0
HIT! ; PA: 39035 ; Accessed Data: 00110010100001000110010001100101
MISS! ; PA: 60331 ; Accessed Data: 0
MISS! ; PA: 8593 ; Accessed Data: 0
MISS! ; PA: 53460 ; Accessed Data: 0
MISS! ; PA: 38472 ; Accessed Data: 0
MISS! ; PA: 38377 ; Accessed Data: 0
HIT! ; PA: 6236 ; Accessed Data: 10000110001100111001100101101001
MISS! ; PA: 20025 ; Accessed Data: 0
MISS! ; PA: 46928 ; Accessed Data: 0
HIT! ; PA: 6232 ; Accessed Data: 10101000101101011100000010100001
MISS! ; PA: 58628 ; Accessed Data: 0
MISS! ; PA: 6343 ; Accessed Data: 0
MISS! ; PA: 26542 ; Accessed Data: 0
MISS! ; PA: 58509 ; Accessed Data: 0
MISS! ; PA: 7003 ; Accessed Data: 0
MISS! ; PA: 35450 ; Accessed Data: 0
MISS! ; PA: 54880 ; Accessed Data: 0
MISS! ; PA: 34056 ; Accessed Data: 0
MISS! ; PA: 57153 ; Accessed Data: 0
MISS! ; PA: 59818 ; Accessed Data: 0
MISS! ; PA: 60716 ; Accessed Data: 0
MISS! ; PA: 38385 ; Accessed Data: 0
MISS! ; PA: 14801 ; Accessed Data: 0
MISS! ; PA: 51111 ; Accessed Data: 0
HIT! ; PA: 6840 ; Accessed Data: 00001100111101111101110100111010
MISS! ; PA: 18917 ; Accessed Data: 0
MISS! ; PA: 26862 ; Accessed Data: 0
MISS! ; PA: 47233 ; Accessed Data: 0
MISS! ; PA: 15797 ; Accessed Data: 0
MISS! ; PA: 19528 ; Accessed Data: 0
MISS! ; PA: 23049 ; Accessed Data: 0
MISS! ; PA: 8180 ; Accessed Data: 0
MISS! ; PA: 9696 ; Accessed Data: 0
MISS! ; PA: 12756 ; Accessed Data: 0
MISS! ; PA: 22854 ; Accessed Data: 0
MISS! ; PA: 47042 ; Accessed Data: 0
MISS! ; PA: 36959 ; Accessed Data: 0
MISS! ; PA: 51479 ; Accessed Data: 0
MISS! ; PA: 55114 ; Accessed Data: 0
MISS! ; PA: 34699 ; Accessed Data: 0
MISS! ; PA: 27295 ; Accessed Data: 0
MISS! ; PA: 49195 ; Accessed Data: 0
MISS! ; PA: 36321 ; Accessed Data: 0
MISS! ; PA: 59000 ; Accessed Data: 0
MISS! ; PA: 23003 ; Accessed Data: 0
MISS! ; PA: 49695 ; Accessed Data: 0
MISS! ; PA: 19870 ; Accessed Data: 0
MISS! ; PA: 3611 ; Accessed Data: 0
MISS! ; PA: 27047 ; Accessed Data: 0
MISS! ; PA: 54958 ; Accessed Data: 0
MISS! ; PA: 24085 ; Accessed Data: 0
MISS! ; PA: 3940 ; Accessed Data: 0
MISS! ; PA: 53217 ; Accessed Data: 0
MISS! ; PA: 53145 ; Accessed Data: 0
MISS! ; PA: 52762 ; Accessed Data: 0
MISS! ; PA: 14935 ; Accessed Data: 0
MISS! ; PA: 22183 ; Accessed Data: 0
MISS! ; PA: 6406 ; Accessed Data: 0
MISS! ; PA: 27408 ; Accessed Data: 0
MISS! ; PA: 5627 ; Accessed Data: 0
MISS! ; PA: 30898 ; Accessed Data: 0
HIT! ; PA: 63376 ; Accessed Data: 00110000011111010000000111111101
MISS! ; PA: 26831 ; Accessed Data: 0
MISS! ; PA: 26566 ; Accessed Data: 0
MISS! ; PA: 60993 ; Accessed Data: 0
MISS! ; PA: 54201 ; Accessed Data: 0
MISS! ; PA: 7925 ; Accessed Data: 0
MISS! ; PA: 10467 ; Accessed Data: 0
MISS! ; PA: 21969 ; Accessed Data: 0
MISS! ; PA: 56884 ; Accessed Data: 0
MISS! ; PA: 63241 ; Accessed Data: 0
MISS! ; PA: 14311 ; Accessed Data: 0
MISS! ; PA: 55211 ; Accessed Data: 0
MISS! ; PA: 44339 ; Accessed Data: 0
MISS! ; PA: 32382 ; Accessed Data: 0
MISS! ; PA: 29485 ; Accessed Data: 0
MISS! ; PA: 43098 ; Accessed Data: 0
MISS! ; PA: 40296 ; Accessed Data: 0
MISS! ; PA: 17045 ; Accessed Data: 0
MISS! ; PA: 23494 ; Accessed Data: 0
MISS! ; PA: 8255 ; Accessed Data: 0
MISS! ; PA: 1845 ; Accessed Data: 0
HIT! ; PA: 252 ; Accessed Data: 11010101100101011111001000011011
MISS! ; PA: 10430 ; Accessed Data: 0
MISS! ; PA: 3180 ; Accessed Data: 0
MISS! ; PA: 54323 ; Accessed Data: 0
MISS! ; PA: 46013 ; Accessed Data: 0
MISS! ; PA: 44056 ; Accessed Data: 0
MISS! ; PA: 39531 ; Accessed Data: 0
MISS! ; PA: 23858 ; Accessed Data: 0
MISS! ; PA: 1060 ; Accessed Data: 0
MISS! ; PA: 56649 ; Accessed Data: 0
MISS! ; PA: 56995 ; Accessed Data: 0
MISS! ; PA: 37144 ; Accessed Data: 0
MISS! ; PA: 46213 ; Accessed Data: 0
MISS! ; PA: 21750 ; Accessed Data: 0
MISS! ; PA: 39015 ; Accessed Data: 0
MISS! ; PA: 42339 ; Accessed Data: 0
MISS! ; PA: 25052 ; Accessed Data: 0
